domain,agent_1,utility_1,agent_2,utility_2,nash,social_welfare,result,nash_distance,pareto_distance
domain00,AlphaBIU,0,MatrixAlienAgent,0,0,0,failed,1.053528313,0.937899109
domain00,AlphaBIU,0.952702903,TripleAgent,0.149920761,0.142829944,1.102623664,agreement,0.433976457,0.218814803
domain00,AlphaBIU,0.959480078,TheDiceHaggler2021,0.163682133,0.157049746,1.123162211,agreement,0.421621834,0.203946384
domain00,AlphaBIU,0,AortaBoa,0,0,0,failed,1.053528313,0.937899109
domain00,AlphaBIU,1,POMPFANAgent,0.363562757,0.363562757,1.363562757,agreement,0.245227135,0
domain00,AlphaBIU,0,GamblerAgent,0,0,0,failed,1.053528313,0.937899109
domain00,AlphaBIU,1,AgentFO,0.363562757,0.363562757,1.363562757,agreement,0.245227135,0
domain01,AlphaBIU,0.897795504,MatrixAlienAgent,0.875298132,0.785838728,1.773093637,agreement,0,0
domain01,AlphaBIU,0.897795504,TripleAgent,0.875298132,0.785838728,1.773093637,agreement,0,0
domain01,AlphaBIU,0.966157074,TheDiceHaggler2021,0.188927029,0.182533186,1.155084103,agreement,0.689767059,0.361051245
domain01,AlphaBIU,0.949831431,AortaBoa,0.741044064,0.703866944,1.690875496,agreement,0.143985737,1.11E-16
domain01,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.253867452,1.071392427
domain01,AlphaBIU,0.89497262,GamblerAgent,0.84692171,0.757971742,1.741894331,agreement,0.028516486,0.028516486
domain01,AlphaBIU,0.947964073,AgentFO,0.682642719,0.647120772,1.630606792,agreement,0.19908037,0.011896569
domain02,AlphaBIU,0.871529535,MatrixAlienAgent,0.811972601,0.707658104,1.683502136,agreement,0.219432959,1.57E-16
domain02,AlphaBIU,0.871529535,TripleAgent,0.811972601,0.707658104,1.683502136,agreement,0.219432959,1.57E-16
domain02,AlphaBIU,0.992929039,TheDiceHaggler2021,0.533588159,0.529815178,1.526517198,agreement,0.518074692,0.020578765
domain02,AlphaBIU,0,AortaBoa,0,0,0,failed,1.223363914,1.001804417
domain02,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.223363914,1.001804417
domain02,AlphaBIU,0.823921919,GamblerAgent,0.832437792,0.685863744,1.656359712,agreement,0.174856654,1.11E-16
domain02,AlphaBIU,1,AgentFO,0.552913973,0.552913973,1.552913973,agreement,0.505214825,1.11E-16
domain03,AlphaBIU,0.816686752,MatrixAlienAgent,0.619696158,0.506097642,1.43638291,agreement,0.294136696,0.027862383
domain03,AlphaBIU,0.816697205,TripleAgent,0.60448669,0.493682591,1.421183895,agreement,0.307510177,0.037861855
domain03,AlphaBIU,0.983445488,TheDiceHaggler2021,0.163897181,0.161183943,1.147342669,agreement,0.777182171,0.096644503
domain03,AlphaBIU,0,AortaBoa,0,0,0,failed,1.105240999,1.030044291
domain03,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.105240999,1.030044291
domain03,AlphaBIU,1,GamblerAgent,0.259113294,0.259113294,1.259113294,agreement,0.69851171,0
domain03,AlphaBIU,0.952772322,AgentFO,0.480989588,0.458273567,1.43376191,agreement,0.484302664,5.55E-17
domain04,AlphaBIU,0.953384002,MatrixAlienAgent,0.940420724,0.896582073,1.893804726,agreement,0.022417528,1.11E-16
domain04,AlphaBIU,0.965900537,TripleAgent,0.929644139,0.897943772,1.895544675,agreement,0.006036633,1.11E-16
domain04,AlphaBIU,0.953384002,TheDiceHaggler2021,0.940420724,0.896582073,1.893804726,agreement,0.022417528,1.11E-16
domain04,AlphaBIU,0.979135316,AortaBoa,0.803146603,0.786389203,1.782281919,agreement,0.124050066,0.008945573
domain04,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.342632705,1.211508008
domain04,AlphaBIU,0.953384002,GamblerAgent,0.940420724,0.896582073,1.893804726,agreement,0.022417528,1.11E-16
domain04,AlphaBIU,0.96987345,AgentFO,0.843534403,0.818121622,1.813407853,agreement,0.083426942,0.044335128
domain05,AlphaBIU,0.929855462,MatrixAlienAgent,0.714772113,0.664634753,1.644627575,agreement,1.11E-16,1.11E-16
domain05,AlphaBIU,0.929855462,TripleAgent,0.714772113,0.664634753,1.644627575,agreement,1.11E-16,1.11E-16
domain05,AlphaBIU,0.995958112,TheDiceHaggler2021,0.337548967,0.336184632,1.333507079,agreement,0.382971098,0.020293264
domain05,AlphaBIU,0,AortaBoa,0,0,0,failed,1.172830062,0.882208648
domain05,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.172830062,0.882208648
domain05,AlphaBIU,0.831682843,GamblerAgent,0.686710885,0.571125661,1.518393728,agreement,0.102104337,0.102104337
domain05,AlphaBIU,0.929855462,AgentFO,0.714772113,0.664634753,1.644627575,agreement,1.11E-16,1.11E-16
domain06,AlphaBIU,0.816150436,MatrixAlienAgent,1,0.816150436,1.816150436,agreement,1.11E-16,1.11E-16
domain06,AlphaBIU,0.925684693,TripleAgent,0.876569313,0.811426795,1.802254006,agreement,0.165023901,1.11E-16
domain06,AlphaBIU,0.991740925,TheDiceHaggler2021,0.573189102,0.56845509,1.564930027,agreement,0.461518756,1.11E-16
domain06,AlphaBIU,0.947177682,AortaBoa,0.705371924,0.668112544,1.652549606,agreement,0.322449752,0.079016379
domain06,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.290775555,1.083212927
domain06,AlphaBIU,0.968661213,GamblerAgent,0.789002559,0.764276176,1.757663772,agreement,0.260344881,2.22E-16
domain06,AlphaBIU,0.968661213,AgentFO,0.789002559,0.764276176,1.757663772,agreement,0.260344881,2.22E-16
domain07,AlphaBIU,0,MatrixAlienAgent,0,0,0,failed,1.088346012,0.931531234
domain07,AlphaBIU,1,TripleAgent,0.244090312,0.244090312,1.244090312,agreement,0.701781612,1.14E-16
domain07,AlphaBIU,0,TheDiceHaggler2021,0,0,0,failed,1.088346012,0.931531234
domain07,AlphaBIU,0,AortaBoa,0,0,0,failed,1.088346012,0.931531234
domain07,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.088346012,0.931531234
domain07,AlphaBIU,0,GamblerAgent,0,0,0,failed,1.088346012,0.931531234
domain07,AlphaBIU,0.904944433,AgentFO,0.382469848,0.34611396,1.287414281,agreement,0.53511872,0.006420772
domain08,AlphaBIU,0.912755476,MatrixAlienAgent,0.821842325,0.750141083,1.734597802,agreement,1.11E-16,1.11E-16
domain08,AlphaBIU,0.912755476,TripleAgent,0.821842325,0.750141083,1.734597802,agreement,1.11E-16,1.11E-16
domain08,AlphaBIU,0.996016119,TheDiceHaggler2021,0.478354858,0.476449149,1.474370977,agreement,0.353434541,5.55E-17
domain08,AlphaBIU,0,AortaBoa,0,0,0,failed,1.228229363,0.986022452
domain08,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.228229363,0.986022452
domain08,AlphaBIU,0.890303919,GamblerAgent,0.695025784,0.618784179,1.585329703,agreement,0.128788616,0.03423706
domain08,AlphaBIU,0.981342925,AgentFO,0.570710427,0.56006264,1.552053352,agreement,0.260329538,0
domain09,AlphaBIU,0.822887611,MatrixAlienAgent,0.431166855,0.354801864,1.254054467,agreement,0.180775942,1.11E-16
domain09,AlphaBIU,1,TripleAgent,0.097060046,0.097060046,1.097060046,agreement,0.554831069,1.39E-17
domain09,AlphaBIU,1,TheDiceHaggler2021,0.097060046,0.097060046,1.097060046,agreement,0.554831069,1.39E-17
domain09,AlphaBIU,0,AortaBoa,0,0,0,failed,0.990040702,0.826876812
domain09,AlphaBIU,0,POMPFANAgent,0,0,0,failed,0.990040702,0.826876812
domain09,AlphaBIU,1,GamblerAgent,0.097060046,0.097060046,1.097060046,agreement,0.554831069,1.39E-17
domain09,AlphaBIU,0.855063986,AgentFO,0.421716786,0.360594836,1.276780771,agreement,0.199417609,5.55E-17
domain10,AlphaBIU,0.902102048,MatrixAlienAgent,0.914040516,0.824557821,1.816142564,agreement,0.072255562,0
domain10,AlphaBIU,0.956004356,TripleAgent,0.865921834,0.827825046,1.821926191,agreement,0,0
domain10,AlphaBIU,0.932945129,TheDiceHaggler2021,0.648008031,0.604555935,1.580953159,agreement,0.21913045,0.055204999
domain10,AlphaBIU,0.889021446,AortaBoa,0.602588594,0.535714183,1.49161004,agreement,0.271718799,0.108599304
domain10,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.28987013,1.143263367
domain10,AlphaBIU,0.902102048,GamblerAgent,0.914040516,0.824557821,1.816142564,agreement,0.072255562,0
domain10,AlphaBIU,0.966316638,AgentFO,0.808138755,0.780917924,1.774455392,agreement,0.05869606,0.013226729
domain11,AlphaBIU,0.876344282,MatrixAlienAgent,0.934249901,0.818724558,1.810594182,agreement,0.014093415,1.57E-16
domain11,AlphaBIU,0.912395207,TripleAgent,0.851045055,0.77648943,1.763440263,agreement,0.104620592,1.57E-16
domain11,AlphaBIU,0.934763923,TheDiceHaggler2021,0.689265095,0.644300144,1.624029017,agreement,0.265214236,0.035323977
domain11,AlphaBIU,0,AortaBoa,0,0,0,failed,1.284504479,1.058577347
domain11,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.284504479,1.058577347
domain11,AlphaBIU,0.912395207,GamblerAgent,0.851045055,0.77648943,1.763440263,agreement,0.104620592,1.57E-16
domain11,AlphaBIU,0.921504518,AgentFO,0.706148013,0.650718584,1.627652531,agreement,0.245715206,0.027730914
domain12,AlphaBIU,0.866205735,MatrixAlienAgent,0.904924883,0.783851123,1.771130618,agreement,1.11E-16,1.11E-16
domain12,AlphaBIU,0.866205735,TripleAgent,0.904924883,0.783851123,1.771130618,agreement,1.11E-16,1.11E-16
domain12,AlphaBIU,0.866205735,TheDiceHaggler2021,0.904924883,0.783851123,1.771130618,agreement,1.11E-16,1.11E-16
domain12,AlphaBIU,0,AortaBoa,0,0,0,failed,1.2526777,1.072048316
domain12,AlphaBIU,0,POMPFANAgent,0,0,0,failed,1.2526777,1.072048316
domain12,AlphaBIU,0.866205735,GamblerAgent,0.904924883,0.783851123,1.771130618,agreement,1.11E-16,1.11E-16
domain12,AlphaBIU,0.9142502,AgentFO,0.540213041,0.493889881,1.454463241,agreement,0.367862744,0.063180538
domain13,AlphaBIU,0.836501881,MatrixAlienAgent,0.455401488,0.380944201,1.291903369,agreement,0.363841718,1.24E-16
domain13,AlphaBIU,0.897446752,TripleAgent,0.193488699,0.173645804,1.090935451,agreement,0.618489944,0.080705538
domain13,AlphaBIU,0.976478905,TheDiceHaggler2021,0.357264636,0.34886138,1.333743541,agreement,0.529561596,0
domain13,AlphaBIU,0,AortaBoa,0,0,0,failed,0.963727928,0.835534659
domain13,AlphaBIU,0,POMPFANAgent,0,0,0,failed,0.963727928,0.835534659
domain13,AlphaBIU,0,GamblerAgent,0,0,0,failed,0.963727928,0.835534659
domain13,AlphaBIU,0.873925657,AgentFO,0.369842247,0.323214628,1.243767904,agreement,0.454972532,0
domain14,AlphaBIU,0.811967536,MatrixAlienAgent,0.780520057,0.633756947,1.592487593,agreement,1.11E-16,1.11E-16
